,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO,score,USG_
84,Patrick Beverley,PG/SG,LAC,67,24,-0.873974553,0.272334845,0.272444715,-1.153122174,-0.79478982,-0.006366566,0.445114337,-0.691352791,0.677253805,0.507658961,12.8
85,Seth Curry,PG/SG,POR,70,21,0.0335795,0.998561099,0.38788739,-0.857576124,-1.399652696,-0.413826796,-0.430520424,-1.110354482,0.807997783,0.492522928,16.8
86,Dennis Smith Jr,PG/SG,DAL,71,31,-1.236996175,-0.817004536,0.503330066,0.56104492,-0.593168861,1.317879182,0.445114337,-0.900853636,-1.545393817,0.464970151,NA
87,Dario Saric,PF/C,PHI,78,28,-0.329442121,0.87752339,0.734215417,0.127577379,0.414935933,-0.159164152,-0.722398677,-0.691352791,-0.499441995,0.358311361,18.6
88,Luke Kennard,SG,DET,73,25,-0.329442121,0.998561099,0.272444715,-0.739357703,-0.915762395,-0.362894268,-0.430520424,-0.900853636,0.546509827,0.284743246,16
89,Jae Crowder,SF/PF,UTA,73,26,-0.873974553,0.393372554,0.38788739,-0.542327003,-0.633493053,-0.821287027,-0.13864217,-0.691352791,0.93874176,0.217745505,18.1
90,Dirk Nowitzki,PF/C,DAL,72,24,-0.329442121,1.361674226,0.157002039,-0.640842353,0.011694016,-0.872219555,-1.306155184,-0.062850254,1.461717672,0.161176844,NA
91,Spencer Dinwiddie,PG,BKN,70,22,-1.055485364,0.393372554,-0.073883312,-0.877279194,-1.117383354,0.757621366,-0.722398677,-0.691352791,0.677253805,0.154686541,19.7
92,Marco Belinelli,SG/SF,SAS,77,23,-0.692463743,1.361674226,0.157002039,-0.699951563,-1.439976888,-0.617556911,-1.014276931,-1.110354482,0.93874176,0.12563262,24.6
93,Ben Simmons,PG,PHI,79,35,1.667176796,-2.390494752,-1.459195421,1.033918601,1.26174396,3.202382747,2.196383858,0.775153129,-2.460601662,0.12239337,19.1
94,Paul Millsap,PF/C,DEN,65,32,-0.147931311,-0.574929118,-0.304768664,0.265498869,0.697205276,0.044565963,1.028870844,0.984653974,-0.368698017,0.090539876,18
95,Mario Hezonja,SG/SF,NYK,76,25,-0.692463743,0.635447972,-0.073883312,-0.562030073,-0.552844669,-0.66848944,0.445114337,-0.481851945,0.285021872,0.061181355,19.1
96,Terrence Ross,SG/SF,ORL,72,24,-0.692463743,0.151297136,0.38788739,-0.778763844,-1.03673497,-0.923152084,0.153236083,-0.481851945,1.069485738,0.05999042,21.5
97,D.J. Augustin,PG,ORL,73,26,-0.873974553,0.756485681,0.272444715,-0.581733143,-1.319004313,0.55389125,-0.722398677,-1.319855328,-0.23795404,0.040735786,16.7
98,Jerian Grant,PG/SG,ORL,72,24,-0.873974553,0.272334845,-0.535654015,-1.015200684,-1.157707545,0.604823779,0.153236083,-1.110354482,0.546509827,0.026049835,17.7
99,Davis Bertans,PF/C,SAS,74,22,-0.329442121,0.756485681,0.734215417,-0.896982264,-0.996410778,-0.770354498,-1.014276931,0.146650592,1.200229716,0.009317122,12.6
100,Terry Rozier,PG/SG,BOS,77,23,-1.600017796,0.151297136,0.272444715,-0.896982264,-0.472196286,-0.159164152,-0.430520424,-0.900853636,1.069485738,0.006560749,23.3
101,Avery Bradley,PG/SG,LAC,70,27,-0.510952932,-0.090778282,0.38788739,-0.227077882,-0.835114011,-0.515691854,0.153236083,-0.900853636,0.285021872,-0.007402673,15.1
102,Andrew Wiggins,SG/SF,MIN,80,36.5,-0.329442121,-0.938042245,0.041559363,1.290058511,-0.512520477,-0.413826796,0.445114337,-0.062850254,-0.499441995,-0.074578825,19.3
103,George Hill,PG/SG,CLE,62,27,-0.147931311,0.030259427,0.041559363,-0.601436213,-0.915762395,0.044565963,-0.13864217,-0.691352791,0.546509827,-0.077183803,19.5
104,Al Horford,PF/C,BOS,71,32,0.0335795,0.030259427,-0.073883312,-0.089156392,0.697205276,0.859486423,-0.722398677,0.984653974,-0.107210062,-0.102902593,12.7
