,PLAYER,POS,TEAM,GP,MPG,nFGp,nFTp,nX3PM,nPTS,nTREB,nAST,nSTL,nBLK,nTO
18,Ben Simmons,PG,PHI,79,35,1.667176796,-2.390494752,-1.459195421,1.033918601,1.26174396,3.202382747,2.196383858,0.775153129,-2.460601662
19,Draymond Green,PF/C,GSW,75,32.5,-0.329442121,-0.090778282,-0.189325988,-0.502920863,1.01979881,2.132799643,1.612627351,1.403655666,-1.283905862
20,Rudy Gobert,C,UTA,70,33,2.75624166,-1.059079953,-1.574638097,-0.010344112,2.713414864,-0.821287027,-0.722398677,3.498664122,-0.23795404
21,Victor Oladipo,PG/SG,IND,72,33,-0.147931311,0.272334845,0.734215417,1.309761581,-0.189926943,0.502958722,2.488262111,0.146650592,-1.153161884
22,Kevin Love,PF/C,CLE,70,32,-0.510952932,0.998561099,1.657756823,0.79748176,1.987579412,-0.362894268,-0.430520424,-0.272351099,-0.23795404
23,Kyle Lowry,PG,TOR,75,32,-0.692463743,0.87752339,2.00408485,0.58074799,-0.068954368,1.725339412,0.73699259,-0.691352791,-0.760929951
24,Khris Middleton,SG/SF,MIL,78,35,-0.329442121,1.361674226,0.849658093,1.073324741,-0.149602751,0.502958722,1.320749097,-0.691352791,-0.760929951
25,Marc Gasol,C,MEM,75,33,-0.329442121,0.635447972,0.272444715,0.501935709,0.818177851,0.706688837,-0.430520424,1.613156511,-0.891673928
26,Devin Booker,PG/SG,PHO,75,34,-0.692463743,1.240636517,1.773199499,2.097884383,-0.35122371,0.808553894,-0.13864217,-0.691352791,-2.068369729
27,Eric Bledsoe,PG/SG,MIL,70,31,0.0335795,0.151297136,0.503330066,0.8368879,-0.472196286,1.216014125,1.904505604,-0.272351099,-1.545393817
28,Jrue Holiday,PG/SG,NOR,75,34,0.0335795,-0.090778282,0.272444715,0.65956027,-0.472196286,1.776271941,1.320749097,0.146650592,-1.283905862
29,Andre Drummond,PF/C,DET,79,33,1.122644364,-2.148419334,-1.574638097,0.285201939,4.407030918,-0.26102921,1.612627351,1.822657357,-0.891673928
30,Kemba Walker,PG,CHA,78,33,-0.692463743,0.998561099,1.657756823,1.467386142,-0.835114011,1.165081596,0.445114337,-0.691352791,-0.499441995
31,Bradley Beal,SG,WAS,77,35,0.0335795,0.393372554,1.657756823,1.743229122,-0.552844669,0.401093664,0.153236083,-0.481851945,-0.630185973
32,LaMarcus Aldridge,PF/C,SAS,72,33,0.578111932,0.514410263,-1.112867394,1.033918601,1.01979881,-0.566624383,-1.014276931,1.403655666,0.546509827
33,Myles Turner,PF/C,IND,70,30,0.578111932,0.272334845,-0.535654015,0.127577379,0.535908509,-0.821287027,-0.722398677,2.66066074,0.415765849
34,Mike Conley,PG,MEM,65,32,-0.692463743,0.87752339,1.080543445,0.81718483,-0.875438203,1.521609297,1.028870844,-0.691352791,-0.23795404
35,Otto Porter Jr,SF/PF,WAS,76,32,0.578111932,0.514410263,0.734215417,0.265498869,0.293963358,-0.515691854,1.320749097,-0.272351099,1.200229716
36,DeMarcus Cousins,PF/C,GSW,35,26,-0.147931311,-0.3328537,0.618772742,0.87629404,1.342392344,0.401093664,0.445114337,0.775153129,-2.460601662
37,Klay Thompson,SG/SF,GSW,76,34,0.215090311,0.756485681,2.465855553,1.309761581,-0.673817244,-0.413826796,-0.722398677,-0.272351099,0.154277894
